time,open,high,low,close,tick_volume,spread,real_volume
2025-01-08 15:15:00,1.0289,1.02906,1.0289,1.02906,4,2,0
2025-01-08 15:15:00,1.0289,1.02962,1.0289,1.02939,48,2,0
2025-01-08 15:15:00,1.0289,1.02962,1.0289,1.02953,92,2,0
2025-01-08 15:15:00,1.0289,1.02966,1.0289,1.02943,129,2,0
2025-01-08 15:15:00,1.0289,1.02966,1.0289,1.0293,153,2,0
2025-01-08 15:15:00,1.0289,1.02966,1.0289,1.02916,171,2,0
2025-01-08 15:16:00,1.02935,1.02935,1.02934,1.02934,4,3,0
2025-01-08 15:16:00,1.02935,1.02936,1.02915,1.02917,24,3,0
2025-01-08 15:16:00,1.02935,1.0294,1.02915,1.02933,50,3,0
2025-01-08 15:16:00,1.02935,1.0294,1.02915,1.02936,68,3,0
2025-01-08 15:16:00,1.02935,1.02943,1.02915,1.02942,73,2,0
2025-01-08 15:16:00,1.02935,1.02969,1.02915,1.02963,89,2,0
2025-01-08 15:17:00,1.02957,1.02957,1.02956,1.02956,2,2,0
2025-01-08 15:17:00,1.02957,1.02957,1.02937,1.02938,15,2,0
2025-01-08 15:17:00,1.02957,1.02957,1.02933,1.02946,29,2,0
2025-01-08 15:17:00,1.02957,1.02957,1.02933,1.02945,45,0,0
2025-01-08 15:17:00,1.02957,1.02957,1.02933,1.02944,66,0,0
2025-01-08 15:17:00,1.02957,1.02957,1.02933,1.02938,76,0,0
2025-01-08 15:18:00,1.02922,1.02923,1.02917,1.02917,4,0,0
2025-01-08 15:18:00,1.02922,1.02923,1.02898,1.02907,32,0,0
2025-01-08 15:18:00,1.02922,1.02923,1.02898,1.0290300000000001,51,0,0
2025-01-08 15:18:00,1.02922,1.02923,1.02897,1.02909,76,0,0
2025-01-08 15:18:00,1.02922,1.02923,1.02897,1.02909,99,0,0
2025-01-08 15:18:00,1.02922,1.02923,1.02897,1.0290300000000001,121,0,0
2025-01-08 15:19:00,1.0291,1.02923,1.0291,1.02921,8,0,0
2025-01-08 15:19:00,1.0291,1.02929,1.0291,1.02925,29,0,0
2025-01-08 15:19:00,1.0291,1.02929,1.02909,1.0291,49,0,0
2025-01-08 15:19:00,1.0291,1.02929,1.02908,1.02923,74,0,0
2025-01-08 15:19:00,1.0291,1.02931,1.02908,1.02919,101,0,0
2025-01-08 15:19:00,1.0291,1.02931,1.0290300000000001,1.02904,121,0,0
2025-01-08 15:20:00,1.0290300000000001,1.0290300000000001,1.02892,1.02895,7,0,0
2025-01-08 15:20:00,1.0290300000000001,1.02917,1.02892,1.02915,30,0,0
2025-01-08 15:20:00,1.0290300000000001,1.02919,1.02892,1.02914,53,0,0
2025-01-08 15:20:00,1.0290300000000001,1.02927,1.02892,1.02927,82,0,0
2025-01-08 15:20:00,1.0290300000000001,1.0293,1.02892,1.02927,100,0,0
2025-01-08 15:20:00,1.0290300000000001,1.02935,1.02892,1.02913,116,0,0
2025-01-08 15:21:00,1.02913,1.02922,1.02913,1.02919,7,0,0
2025-01-08 15:21:00,1.02913,1.02929,1.02911,1.02915,37,0,0
2025-01-08 15:21:00,1.02913,1.02929,1.02908,1.02916,59,0,0
2025-01-08 15:21:00,1.02913,1.02929,1.02908,1.02918,73,0,0
2025-01-08 15:21:00,1.02913,1.02933,1.02908,1.02929,96,0,0
2025-01-08 15:21:00,1.02913,1.02934,1.02908,1.02933,109,0,0
2025-01-08 15:22:00,1.02947,1.02948,1.02945,1.02945,4,0,0
2025-01-08 15:22:00,1.02947,1.02948,1.02928,1.02928,27,0,0
2025-01-08 15:22:00,1.02947,1.02948,1.02927,1.02945,45,0,0
2025-01-08 15:22:00,1.02947,1.02949,1.02927,1.02948,68,0,0
2025-01-08 15:22:00,1.02947,1.0296,1.02927,1.0296,78,0,0
